        K, Rendimiento, Aciertos,
**** Metrica: Manhattan Archivo: wine_test60.0.csv *****,
1,64.70588235294117,11,
2,64.70588235294117,11,
3,70.58823529411765,12,
4,52.94117647058824,9,
5,70.58823529411765,12,
6,52.94117647058824,9,
7,58.82352941176471,10,
8,58.82352941176471,10,
9,58.82352941176471,10,
10,58.82352941176471,10,
11,52.94117647058824,9,
12,52.94117647058824,9,
13,52.94117647058824,9,
14,58.82352941176471,10,
15,52.94117647058824,9,
16,58.82352941176471,10,
17,58.82352941176471,10,
